kpi_name,period,value,delta,driver,status,scenario_id
total_demand_tons,2020-01,60747.17,0.0,SKU forecast,positive,base
recipe_time_utilization_pct,2020-01,95.4845,0.0,Time constraint,negative,base
capacity_violations_count,2020-01,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-01,906.4634,0.0,Wheat price,neutral,base
waste_rate_pct,2020-01,1.874,0.0,Recipe mix,positive,base
vision_2030_index,2020-01,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-01,3654165.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-01,60747.17,0.0,Flour demand,neutral,base
total_recipe_hours,2020-01,1545.15,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-01,87.4654,0.0,Model accuracy,positive,base
seasonality_index,2020-01,1.0216,0.0,Calendar,neutral,base
planned_recipe_hours,2020-01,1707.74,0.0,Schedule,neutral,base
available_mill_hours,2020-01,1788.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-01,80.76,0.0,Capacity balance,positive,base
avg_changeovers,2020-01,52.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-01,890.6192,0.0,Raw material,neutral,base
waste_impact_pct,2020-01,1.874,0.0,Waste,positive,base
mill_utilization_pct,2020-01,95.4845,0.0,Utilization,negative,base
overload_hours,2020-01,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-01,105.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-01,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-01,47.7,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-01,60747.21,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-01,906.4634,0.0,Market,neutral,base
import_dependency_pct,2020-01,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-01,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-01,0.092,0.0,Quality,neutral,base
waste_rate_vs_target,2020-01,-0.63,0.0,Gap to target,positive,base
energy_per_ton,2020-01,68.482,0.0,Efficiency,neutral,base
water_per_ton,2020-01,0.7772,0.0,Conservation,neutral,base
vision_2030_compliance,2020-01,85.5,0.0,Composite,positive,base
total_demand_tons,2020-02,58278.77,-4.0634,SKU forecast,negative,base
recipe_time_utilization_pct,2020-02,95.656,0.1715,Time constraint,negative,base
capacity_violations_count,2020-02,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-02,920.8056,14.3422,Wheat price,neutral,base
waste_rate_pct,2020-02,1.788,-0.086,Recipe mix,positive,base
vision_2030_index,2020-02,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-02,3521239.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-02,58278.77,0.0,Flour demand,neutral,base
total_recipe_hours,2020-02,1481.9,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-02,87.7414,0.0,Model accuracy,positive,base
seasonality_index,2020-02,1.0562,0.0,Calendar,neutral,base
planned_recipe_hours,2020-02,1637.63,0.0,Schedule,neutral,base
available_mill_hours,2020-02,1712.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-02,74.37,0.0,Capacity balance,positive,base
avg_changeovers,2020-02,49.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-02,890.6059,0.0,Raw material,neutral,base
waste_impact_pct,2020-02,1.788,0.0,Waste,positive,base
mill_utilization_pct,2020-02,95.656,0.0,Utilization,negative,base
overload_hours,2020-02,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-02,100.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-02,0.3,0.0,Continuity,neutral,base
downtime_risk_score,2020-02,47.8,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-02,58278.72,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-02,920.8056,0.0,Market,neutral,base
import_dependency_pct,2020-02,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-02,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-02,0.097,0.0,Quality,neutral,base
waste_rate_vs_target,2020-02,-0.71,0.0,Gap to target,positive,base
energy_per_ton,2020-02,67.728,0.0,Efficiency,neutral,base
water_per_ton,2020-02,0.7986,0.0,Conservation,neutral,base
vision_2030_compliance,2020-02,85.5,0.0,Composite,positive,base
total_demand_tons,2020-03,64071.89,9.9404,SKU forecast,positive,base
recipe_time_utilization_pct,2020-03,95.6954,0.0394,Time constraint,negative,base
