sku_id,sku_name,pack_size_kg,flour_type,brand
SKU001,FOOM Superior Flour 45kg,45,Superior,FOOM
SKU002,FOOM Superior Flour 10kg,10,Superior,FOOM
SKU003,FOOM Superior Flour 1kg,1,Superior,FOOM
SKU004,FOOM Bakery Flour 45kg,45,Bakery,FOOM
SKU005,FOOM Bakery Flour 10kg,10,Bakery,FOOM
SKU006,FOOM Patent Flour 45kg,45,Patent,FOOM
SKU007,FOOM Patent Flour 10kg,10,Patent,FOOM
SKU008,FOOM Brown Flour 45kg,45,Brown,FOOM
SKU009,FOOM Brown Flour 10kg,10,Brown,FOOM
SKU010,FOOM Superior Brown Flour 45kg,45,Superior Brown,FOOM
SKU011,Miller Superior Flour 45kg,45,Superior,Miller
SKU012,Miller Superior Flour 10kg,10,Superior,Miller
SKU013,Miller Bakery Flour 45kg,45,Bakery,Miller
SKU014,Miller Bakery Flour 10kg,10,Bakery,Miller
